id,name,region,city,type
CKB,Trường Cao đẳng Bách khoa Đà Nẵng,2,4,2
CBV,Trường Cao đẳng Bách Việt TP. HCM,3,2,2
CDQ,Trường Cao đẳng Công Kỹ nghệ Đông Á,2,33,2
CDC,Trường Cao đẳng Công nghệ thông tin TP.HCM,3,2,2
CDD,Trường Cao đẳng Dân lập Kinh tế kỹ thuật Đông du Đà Nẵng,2,4,2
CKM,Trường Cao đẳng Kinh tế - Kỹ thuật Miền Nam,3,2,2
CKE,Trường Cao đẳng Kinh tế - Kỹ thuật Sài Gòn,3,2,2
CET,Trường Cao đẳng Kinh tế - Công nghệ Tp.HCM,3,2,2
CCQ,Trường Cao đẳng Kỹ thuật Công nghiệp Quảng Ngãi,2,34,2
CVX,Trường Cao đẳng Kỹ thuật - Công nghệ Vạn Xuân,3,2,2
CLV,Trường Cao đẳng Lạc Việt,2,4,2
CPN,Trường Cao đẳng Phương Đông - Đà Nẵng,2,4,2
CPD,Trường Cao đẳng Phương Đông - Quảng Nam,2,33,2
CDA,Trường Cao đẳng Tư thục Đức Trí,2,4,2
CVS,Trường Cao đẳng Văn hoá Nghệ Thuật và Du lịch Sài Gòn,3,2,2
CDV,Trường Cao đẳng Viễn Đông,3,2,2
RMI,Trường Đại học quốc tế Rmit Việt Nam,3,2,1
VGU,Trường Đại học Việt Đức,3,2,1
,Trường Đại học Anh quốc Việt Nam,1,1,1
KQH,Học viện Kỹ thuật Quân sự,1,1,1
YQH,Học viện Quân y,1,1,1
NQH,Học viện Khoa học Quân sự,1,1,1
BPH,Học viện Biên phòng,1,1,1
HEH,Học viện Hậu cần,1,1,1
PKH,Học viện Phòng không - Không quân,1,1,1
HQH,Học viện Hải quân,2,40,1
LCH,Trường Đại học Chính trị,1,1,1
LAH,Trường Đại học Trần Quốc Tuấn,1,1,1
LBH,Trường Đại học Nguyễn Huệ,3,47,1
PBH,Trường Sĩ quan Pháo binh,1,1,1
SNH,Trường Sĩ quan Công binh,3,43,1
ZTH,Trường Sĩ quan Thông tin,2,40,1
KGH,Trường Sĩ quan Không quân,2,40,1
ZNH,Trường Đại học Văn hoá - Nghệ thuật quân đội,1,1,1
ZPH,Trường Đại học Trần Đại Nghĩa,3,2,1
TGH,Trường Sĩ quan Tăng-Thiết giáp,1,16,1
DCH,Trường Sĩ quan Đặc công,1,1,1
HGH,Trường Sĩ quan Phòng hoá,1,1,1
QPH,Trường CĐ Công nghiệp Quốc phòng,1,15,2
COT,Trường CĐ Công nghệ và kỹ thuật ô tô,1,1,2
